severity,code,seed_row_id,provider,message,evidence,recommended_action
critical,accepted_low_confidence_seed,P004,openalex,A provider candidate was written as resolved even though its identity is below the acceptance threshold.,method=low_confidence_search_title; stored_score=0.3814; recalculated_title_similarity=0.3814; edges=241; resolved_title=Intelligent Fruit Yield Estimation for Orchards Using Deep Learning Based Semantic Segmentation Techniques—A Review,Quarantine this provider's seed metadata and all derived edges; repair the seed identity and rerun.
high,identity_empty_edges,,,Some edge rows cannot be assigned any canonical identity.,count=41,Quarantine these rows from screening and inspect raw provider responses.
high,relation_shortfall,P007,semantic_scholar,Downloaded backward references are below the provider-reported or configured expected count.,reported=65; expected_after_cap=65; downloaded=0; completeness=0.0%,Refresh the provider relation endpoint with credentials and record any API error instead of treating it as zero relations.
medium,edges_missing_related_provider_id,,,Some relation rows have no provider work ID.,count=35 of 918 (3.8%),Do not use these rows as stable graph nodes until another identifier is available.
medium,edges_missing_related_title,,,Some relation rows have no related-paper title.,count=41 of 918 (4.5%),Quarantine identity-empty rows or enrich them before canonical screening.
medium,openalex_api_key_not_recorded,,openalex,The run manifest does not record use of an OpenAlex API key.,openalex_mailto_used=False; openalex_api_key_used=field absent,"Use a current OpenAlex API key and record only a boolean, never the secret itself."
medium,semantic_scholar_api_key_not_used,,semantic_scholar,The run was collected without a Semantic Scholar API key.,semantic_scholar_api_key_used=false,Use an API key for repair runs and preserve rate-limit/error diagnostics.
medium,unresolved_provider_seed,P001,semantic_scholar,The seed was not resolved by this provider.,reason=unresolved; score=0.0000; cache=outputs\snowball_full_2026-07-05\cache\b63f06b66d8260a14d49a73be85f9351b523c17e2b8c775fa474eb45cb5428a0.json,Retry by stable identifier with credentials; retain as unresolved if no exact identity is found.
medium,unresolved_provider_seed,P003,semantic_scholar,The seed was not resolved by this provider.,reason=unresolved; score=0.0000; cache=outputs\snowball_full_2026-07-05\cache\0114edc4f9fff435a3293bd22cdf9cd874e59a350d2a16837a6de6e6e57355d7.json,Retry by stable identifier with credentials; retain as unresolved if no exact identity is found.
medium,unresolved_provider_seed,P004,semantic_scholar,The seed was not resolved by this provider.,reason=unresolved; score=0.0000; cache=outputs\snowball_full_2026-07-05\cache\d5f25fd403fedcb00fbce88b8e31dc3c1ba6b64d6fcb9970ceec30e99cae2250.json,Retry by stable identifier with credentials; retain as unresolved if no exact identity is found.
medium,unresolved_provider_seed,P005,semantic_scholar,The seed was not resolved by this provider.,reason=unresolved; score=0.0000; cache=outputs\snowball_full_2026-07-05\cache\f2204efbf8ab2a1ff9909fcbbadcff17ceb212f0521725172277ee061c2c0a6b.json,Retry by stable identifier with credentials; retain as unresolved if no exact identity is found.
medium,unresolved_provider_seed,P012,semantic_scholar,The seed was not resolved by this provider.,reason=unresolved; score=0.0000; cache=outputs\snowball_full_2026-07-05\cache\94b4d600c2c5b021cc24828eb338d5a3e18ac3d697dbf218ca09b93097785dce.json,Retry by stable identifier with credentials; retain as unresolved if no exact identity is found.
medium,unresolved_provider_seed,P013,openalex,The seed was not resolved by this provider.,reason=unresolved; score=0.0000; cache=outputs\snowball_full_2026-07-05\cache\1da96da04653a0c4312f56d56190de1c2d8d99fa8f56ea12e245a5dab172b1e4.json,Retry by stable identifier with credentials; retain as unresolved if no exact identity is found.
medium,unresolved_provider_seed,P013,semantic_scholar,The seed was not resolved by this provider.,reason=unresolved; score=0.0000; cache=outputs\snowball_full_2026-07-05\cache\afe54d2a2c681524df676909d1c21f0669716d2176efb9b7ba69f54695115fcf.json,Retry by stable identifier with credentials; retain as unresolved if no exact identity is found.
low,duplicate_title_year_node_groups,,,Multiple node rows share the same normalized title and year.,groups=8,Canonicalize by DOI/arXiv/PMID before title-year fallback and retain provider aliases.
info,cross_provider_duplicate_edges,,,The same canonical relation appears more than once across providers.,redundant_provider_rows=154; canonical_related_identities=677,Screen a canonical table while preserving provider-level provenance separately.
