seed_id,dataset_name,title,doi,original_filename,local_path,size_bytes,sha256,identity_status
P001,MuST-C,The Multi-Sensor and Multi-Temporal Dataset of Multiple Crops for In-Field Phenotyping and Monitoring,10.1038/s41597-025-06462-y,s41597-025-06462-y.pdf,data/raw/seed_papers/P001_MuST-C.pdf,4756650,b453d8fd78992f0b91b91bdb7f85f84c3962a28a89aa14f2d98ccf852fb8c68d,verified_from_local_pdf
P002,TomatoMAP,Tomato Multi-Angle Multi-Pose Dataset for Fine-Grained Phenotyping,10.1038/s41597-026-06926-9,s41597-026-06926-9.pdf,data/raw/seed_papers/P002_TomatoMAP.pdf,3230521,c2673db60728db1f13936a7f5890e66fcdd170032eb8b1c64e000e12a04457bb,verified_from_local_pdf
P003,AgriVision,AgriVision: A Benchmark Dataset for Advancing Real-World Robotic Vision in Densely Fruited Blueberry Crop,10.1038/s41597-025-06263-3,s41597-025-06263-3.pdf,data/raw/seed_papers/P003_AgriVision.pdf,2939878,b87bacec14ad81613b52a01354f904754a6268748ee5d7b51c416920304c6be7,verified_from_local_pdf
P004,MFO,A Dataset for Semantic and Instance Segmentation of Modern Fruit Orchards,10.1109/CVPRW67362.2025.00535,Wang_A_Dataset_for_Semantic_and_Instance_Segmentation_of_Modern_Fruit_CVPRW_2025_paper.pdf,data/raw/seed_papers/P004_MFO.pdf,10054993,eed8b86a1c1b76a31ad75c7ea1d228f8335421e44737c1e5cf0de35e88cdc353,verified_from_local_pdf
P005,Horti-M3-Tomato,A Three-Year Multimodal Holistic Dataset For Horticultural Tomato Cultivation,10.1038/s41597-026-07074-w,s41597-026-07074-w.pdf,data/raw/seed_papers/P005_Horti-M3-Tomato.pdf,2329727,9f02edc8dbd5d48ca9c45746f2e898d91a8993c816a4bcdaca6fcec8379dc5cc,verified_from_local_pdf
P006,Broad-Leaf-Legumes-3D,Annotated 3D Point Cloud Dataset of Broad-Leaf Legumes Captured by High-Throughput Phenotyping Platform,10.1038/s41597-025-06049-7,s41597-025-06049-7.pdf,data/raw/seed_papers/P006_Broad-Leaf-Legumes-3D.pdf,2384192,84188ecb105698c07081bd3572aa4329cf628b66fd2c28675b950ff9aa5bfde7,verified_from_local_pdf
P007,BAWSeg,BAWSeg: A UAV Multispectral Benchmark for Barley Weed Segmentation,10.3390/rs18060915,2603.01932v2.pdf,data/raw/seed_papers/P007_BAWSeg.pdf,7980747,ac343e9467557d97ef5a80b521c84e8ab5f3325286f5d51783561b7e52448311,verified_from_local_pdf
P008,SoyCotton,A Leaf-Level Dataset for Soybean-Cotton Detection and Segmentation,10.1038/s41597-026-07092-8,s41597-026-07092-8.pdf,data/raw/seed_papers/P008_SoyCotton.pdf,6423174,525d7842a75bebdc6333587095ea8874c9b348c388009c1f8646884f42a69fb5,verified_from_local_pdf
P009,TomatoWUR,"TomatoWUR: An annotated dataset of tomato plants to quantitatively evaluate segmentation, skeletonisation, and plant-trait extraction algorithms for 3D plant phenotyping",10.1016/j.dib.2025.111852,1-s2.0-S2352340925005773-main.pdf,data/raw/seed_papers/P009_TomatoWUR.pdf,3013258,70a841ee51f9a182c70692708eed716d839ac1e9744cd5d8e48d63a0ecaa954f,verified_from_local_pdf
P010,WeedsGalore,WeedsGalore: A Multispectral and Multitemporal UAV-Based Dataset for Crop and Weed Segmentation in Agricultural Maize Fields,10.1109/WACV61041.2025.00467,Celikkan_WeedsGalore_A_Multispectral_and_Multitemporal_UAV-Based_Dataset_for_Crop_and_WACV_2025_paper.pdf,data/raw/seed_papers/P010_WeedsGalore.pdf,5056874,7e977d32aa0a21fe4fa18af507d37fe7cab923cc303d4cfccca92fc61d6834e6,verified_from_local_pdf
P011,PlantSeg,A Large-Scale In-the-wild Dataset for Plant Disease Segmentation,10.1038/s41597-025-06513-4,s41597-025-06513-4.pdf,data/raw/seed_papers/P011_PlantSeg.pdf,3871591,44344ba32c9af52f6603a73f3d617645a8c044838baa6fef1b6a10e059d3dcba,verified_from_local_pdf
P012,MFWD,Manually annotated and curated Dataset of diverse Weed Species in Maize and Sorghum for Computer Vision,10.1038/s41597-024-02945-6,s41597-024-02945-6.pdf,data/raw/seed_papers/P012_MFWD.pdf,2616080,2ec43f74ab9a4d544ce6093cab789b93617b812f0c94a0024db2aa549edc2787,verified_from_local_pdf
P013,TomatoPGT,TomatoPGT: A 3D point cloud dataset of tomato plants for segmentation and plant-trait extraction,10.1016/j.dib.2026.112642,main.pdf,data/raw/seed_papers/P013_TomatoPGT.pdf,2151838,b374fadf0996d1da4662a05a5a6ed5d299b91b3ba4b230242b5f6e0904131b56,verified_from_local_pdf
